Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,ID,age_group4,mature_group4,month_to_maturation,age_month
oli069_1,05-Oct-2021,OLI,ODR,01-Jan-2016,02-Dec-2020,307,2104,0.503937007874016,0.615384615384615,0.727272727272727,0.666666666666667,0.888888888888889,0.727272727272727,0.8,0.205128205128205,0.363636363636364,OLI,4,4,10.0931506849315,69.172602739726
oli070_1,06-Oct-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,308,2105,0.895833333333333,0.714285714285714,1,1,0.833333333333333,1,0.75,1,1,OLI,4,4,10.1260273972603,69.2054794520548
oli071_1,07-Oct-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,309,2106,0.651162790697674,0.7,0.318181818181818,0.368421052631579,1,1,1,1,1,OLI,4,4,10.158904109589,69.2383561643836
oli073_1,13-Oct-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,315,2112,0.727272727272727,1,0.444444444444444,0.363636363636364,1,1,1,1,1,OLI,4,4,10.3561643835616,69.4356164383562
oli074_1,14-Oct-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,316,2113,0.771084337349398,1,0.727272727272727,0.4,0.727272727272727,1,1,0.888888888888889,1,OLI,4,4,10.3890410958904,69.4684931506849
oli075_1,15-Oct-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,317,2114,0.853333333333333,0.888888888888889,0.615384615384615,0.727272727272727,0.888888888888889,1,1,1,0.888888888888889,OLI,4,4,10.4219178082192,69.5013698630137
oli076_1,19-Oct-2021,OLI,ODR,01-Jan-2016,02-Dec-2020,321,2118,0.606060606060606,0.714285714285714,0.714285714285714,0.384615384615385,0.555555555555556,0.625,0.625,0.555555555555556,1,OLI,4,4,10.5534246575342,69.6328767123288
oli077_1,20-Oct-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,322,2119,0.827160493827161,0.842105263157895,0.772727272727273,0.68,0.944444444444444,0.85,0.80952380952381,0.894736842105263,0.888888888888889,OLI,4,4,10.586301369863,69.6657534246575
oli078_1,21-Oct-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,323,2120,0.790123456790123,0.888888888888889,0.727272727272727,0.666666666666667,0.8,1,0.888888888888889,0.615384615384615,0.888888888888889,OLI,4,4,10.6191780821918,69.6986301369863
pic001_1,22-Jan-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-940,1419,0.775280898876405,1,1,1,1,0.6,0.533333333333333,0.818181818181818,0.615384615384615,PIC,2,1,-30.9041095890411,46.6520547945205
pic003_1,24-Jan-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-938,1421,0.761904761904762,1,1,1,1,1,0.8,0.571428571428571,0.4,PIC,2,1,-30.8383561643836,46.7178082191781
pic004_1,28-Jan-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-934,1425,0.64,0.4,0.666666666666667,1,0.857142857142857,1,0.857142857142857,0.75,0.352941176470588,PIC,2,1,-30.7068493150685,46.8493150684932
pic005_1,29-Jan-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-933,1426,0.875,0.714285714285714,0.9,1,0.9,1,0.833333333333333,1,0.769230769230769,PIC,2,1,-30.6739726027397,46.8821917808219
pic007_1,11-Feb-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-920,1439,0.666666666666667,0.375,0.6,1,0.857142857142857,0.545454545454545,1,1,0.6,PIC,2,1,-30.2465753424658,47.3095890410959
pic008_1,12-Feb-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-919,1440,0.8625,0.615384615384615,0.727272727272727,1,1,1,0.9,0.9,0.9,PIC,2,1,-30.213698630137,47.3424657534247
pic009_1,13-Feb-2020,PIC,ODR,04-Mar-2016,19-Aug-2022,-918,1441,0.680851063829787,0.8,0.888888888888889,1,1,0.444444444444444,0.347826086956522,1,0.8,PIC,2,1,-30.1808219178082,47.3753424657534
pic010_1,18-Feb-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-913,1446,0.571428571428571,0.4,0.3,0.5,1,0.6,0.75,0.857142857142857,1,PIC,2,1,-30.0164383561644,47.5397260273973
pic011_1,19-Feb-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-912,1447,0.970149253731343,0.888888888888889,1,1,1,1,1,1,0.888888888888889,PIC,2,1,-29.9835616438356,47.572602739726
pic012_1,20-Feb-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-911,1448,0.893333333333333,0.615384615384615,0.818181818181818,1,1,1,1,1,0.888888888888889,PIC,2,1,-29.9506849315068,47.6054794520548
pic013_1,25-Feb-2020,PIC,ODR,04-Mar-2016,19-Aug-2022,-906,1453,0.695238095238095,0.75,1,1,1,0.409090909090909,0.6,0.473684210526316,1,PIC,2,1,-29.786301369863,47.7698630136986
pic014_1,26-Feb-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-905,1454,0.958904109589041,1,1,0.9,1,1,0.888888888888889,0.888888888888889,1,PIC,2,1,-29.7534246575342,47.8027397260274
